muestra	archivo	subtipo	numero_segmentos_detectados	segmentos_presentes	segmentos_ausentes	longitud_total	N_total	porcentaje_N_total	PB2_presente	PB2_longitud	PB2_N	PB2_porcentaje_N	PB2_estado	PB1_presente	PB1_longitud	PB1_N	PB1_porcentaje_N	PB1_estado	PA_presente	PA_longitud	PA_N	PA_porcentaje_N	PA_estado	HA_presente	HA_longitud	HA_N	HA_porcentaje_N	HA_estado	NP_presente	NP_longitud	NP_N	NP_porcentaje_N	NP_estado	NA_presente	NA_longitud	NA_N	NA_porcentaje_N	NA_estado	M_presente	M_longitud	M_N	M_porcentaje_N	M_estado	NS_presente	NS_longitud	NS_N	NS_porcentaje_N	NS_estado	estado_general
IonXpress_074_232575060	IonXpress_074_232575060.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13231	502	3.79	Sí	2280	64	2.81	Correcto	Sí	2273	147	6.47	Revisar por N	Sí	2151	42	1.95	Correcto	Sí	1752	92	5.25	Revisar por N	Sí	1497	16	1.07	Correcto	Sí	1433	60	4.19	Correcto	Sí	982	32	3.26	Correcto	Sí	863	49	5.68	Revisar por N	Revisar HA/NA
IonXpress_074_232581264	IonXpress_074_232581264.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13205	8644	65.46	Sí	2280	1838	80.61	Muchos N	Sí	2274	1206	53.03	Muchos N	Sí	2151	1406	65.36	Muchos N	Sí	1718	1275	74.21	Muchos N	Sí	1497	954	63.73	Muchos N	Sí	1440	827	57.43	Muchos N	Sí	982	538	54.79	Muchos N	Sí	863	600	69.52	Muchos N	Revisar HA/NA
IonXpress_074_232585043	IonXpress_074_232585043.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	6050	45.72	Sí	2280	1046	45.88	Muchos N	Sí	2274	1129	49.65	Muchos N	Sí	2151	574	26.69	Muchos N	Sí	1752	1247	71.18	Muchos N	Sí	1497	369	24.65	Muchos N	Sí	1433	901	62.88	Muchos N	Sí	982	223	22.71	Muchos N	Sí	863	561	65.01	Muchos N	Revisar HA/NA
IonXpress_074_232589030	IonXpress_074_232589030.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13213	2748	20.8	Sí	2280	266	11.67	Muchos N	Sí	2274	285	12.53	Muchos N	Sí	2151	53	2.46	Correcto	Sí	1718	1222	71.13	Muchos N	Sí	1496	20	1.34	Correcto	Sí	1449	572	39.48	Muchos N	Sí	982	33	3.36	Correcto	Sí	863	297	34.41	Muchos N	Revisar HA/NA
IonXpress_074_232600103	IonXpress_074_232600103.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13203	1105	8.37	Sí	2280	422	18.51	Muchos N	Sí	2274	26	1.14	Correcto	Sí	2151	48	2.23	Correcto	Sí	1718	154	8.96	Revisar por N	Sí	1496	20	1.34	Correcto	Sí	1439	103	7.16	Revisar por N	Sí	982	25	2.55	Correcto	Sí	863	307	35.57	Muchos N	Revisar HA/NA
IonXpress_074_232604880	IonXpress_074_232604880.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13240	2771	20.93	Sí	2280	761	33.38	Muchos N	Sí	2274	307	13.5	Muchos N	Sí	2151	133	6.18	Revisar por N	Sí	1752	582	33.22	Muchos N	Sí	1505	197	13.09	Muchos N	Sí	1433	200	13.96	Muchos N	Sí	982	46	4.68	Correcto	Sí	863	545	63.15	Muchos N	Revisar HA/NA
IonXpress_075_232566527	IonXpress_075_232566527.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13203	1134	8.59	Sí	2280	525	23.03	Muchos N	Sí	2274	27	1.19	Correcto	Sí	2151	56	2.6	Correcto	Sí	1718	130	7.57	Revisar por N	Sí	1496	20	1.34	Correcto	Sí	1439	107	7.44	Revisar por N	Sí	982	22	2.24	Correcto	Sí	863	247	28.62	Muchos N	Revisar HA/NA
IonXpress_075_232575070	IonXpress_075_232575070.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13231	821	6.21	Sí	2280	111	4.87	Correcto	Sí	2273	23	1.01	Correcto	Sí	2151	57	2.65	Correcto	Sí	1752	222	12.67	Muchos N	Sí	1497	252	16.83	Muchos N	Sí	1433	72	5.02	Revisar por N	Sí	982	33	3.36	Correcto	Sí	863	51	5.91	Revisar por N	Revisar HA/NA
IonXpress_075_232581369	IonXpress_075_232581369.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13204	7018	53.15	Sí	2280	1439	63.11	Muchos N	Sí	2274	866	38.08	Muchos N	Sí	2151	1325	61.6	Muchos N	Sí	1718	1127	65.6	Muchos N	Sí	1497	592	39.55	Muchos N	Sí	1439	727	50.52	Muchos N	Sí	982	536	54.58	Muchos N	Sí	863	406	47.05	Muchos N	Revisar HA/NA
IonXpress_075_232585062	IonXpress_075_232585062.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	4690	35.44	Sí	2280	1122	49.21	Muchos N	Sí	2274	670	29.46	Muchos N	Sí	2151	289	13.44	Muchos N	Sí	1752	1083	61.82	Muchos N	Sí	1497	21	1.4	Correcto	Sí	1433	905	63.15	Muchos N	Sí	982	33	3.36	Correcto	Sí	863	567	65.7	Muchos N	Revisar HA/NA
IonXpress_075_232588718	IonXpress_075_232588718.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13204	685	5.19	Sí	2280	55	2.41	Correcto	Sí	2274	25	1.1	Correcto	Sí	2151	42	1.95	Correcto	Sí	1718	146	8.5	Revisar por N	Sí	1496	20	1.34	Correcto	Sí	1440	86	5.97	Revisar por N	Sí	982	14	1.43	Correcto	Sí	863	297	34.41	Muchos N	Revisar HA/NA
IonXpress_075_232600145	IonXpress_075_232600145.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13203	1134	8.59	Sí	2280	525	23.03	Muchos N	Sí	2274	27	1.19	Correcto	Sí	2151	56	2.6	Correcto	Sí	1718	130	7.57	Revisar por N	Sí	1496	20	1.34	Correcto	Sí	1439	107	7.44	Revisar por N	Sí	982	22	2.24	Correcto	Sí	863	247	28.62	Muchos N	Revisar HA/NA
IonXpress_075_232604909	IonXpress_075_232604909.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	1036	7.83	Sí	2280	224	9.82	Revisar por N	Sí	2274	170	7.48	Revisar por N	Sí	2151	40	1.86	Correcto	Sí	1752	152	8.68	Revisar por N	Sí	1497	61	4.07	Correcto	Sí	1433	155	10.82	Muchos N	Sí	982	31	3.16	Correcto	Sí	863	203	23.52	Muchos N	Revisar HA/NA
IonXpress_076_232568611	IonXpress_076_232568611.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13203	1370	10.38	Sí	2280	699	30.66	Muchos N	Sí	2274	41	1.8	Correcto	Sí	2151	59	2.74	Correcto	Sí	1718	169	9.84	Revisar por N	Sí	1496	7	0.47	Correcto	Sí	1439	116	8.06	Revisar por N	Sí	982	24	2.44	Correcto	Sí	863	255	29.55	Muchos N	Revisar HA/NA
IonXpress_076_232575078	IonXpress_076_232575078.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	1303	9.85	Sí	2280	118	5.18	Revisar por N	Sí	2274	419	18.43	Muchos N	Sí	2151	44	2.05	Correcto	Sí	1752	323	18.44	Muchos N	Sí	1497	243	16.23	Muchos N	Sí	1433	72	5.02	Revisar por N	Sí	982	33	3.36	Correcto	Sí	863	51	5.91	Revisar por N	Revisar HA/NA
IonXpress_076_232581370	IonXpress_076_232581370.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13236	6345	47.94	Sí	2280	1174	51.49	Muchos N	Sí	2274	1034	45.47	Muchos N	Sí	2156	990	45.92	Muchos N	Sí	1752	882	50.34	Muchos N	Sí	1496	539	36.03	Muchos N	Sí	1433	637	44.45	Muchos N	Sí	982	462	47.05	Muchos N	Sí	863	627	72.65	Muchos N	Revisar HA/NA
IonXpress_076_232585263	IonXpress_076_232585263.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	1188	8.98	Sí	2280	227	9.96	Revisar por N	Sí	2274	166	7.3	Revisar por N	Sí	2151	54	2.51	Correcto	Sí	1752	278	15.87	Muchos N	Sí	1497	190	12.69	Muchos N	Sí	1433	177	12.35	Muchos N	Sí	982	33	3.36	Correcto	Sí	863	63	7.3	Revisar por N	Revisar HA/NA
IonXpress_076_232588675	IonXpress_076_232588675.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	7035	53.17	Sí	2280	1722	75.53	Muchos N	Sí	2274	670	29.46	Muchos N	Sí	2151	938	43.61	Muchos N	Sí	1752	1029	58.73	Muchos N	Sí	1497	424	28.32	Muchos N	Sí	1433	1113	77.67	Muchos N	Sí	982	568	57.84	Muchos N	Sí	863	571	66.16	Muchos N	Revisar HA/NA
IonXpress_076_232600149	IonXpress_076_232600149.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13203	1370	10.38	Sí	2280	699	30.66	Muchos N	Sí	2274	41	1.8	Correcto	Sí	2151	59	2.74	Correcto	Sí	1718	169	9.84	Revisar por N	Sí	1496	7	0.47	Correcto	Sí	1439	116	8.06	Revisar por N	Sí	982	24	2.44	Correcto	Sí	863	255	29.55	Muchos N	Revisar HA/NA
IonXpress_076_232605391	IonXpress_076_232605391.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13205	1250	9.47	Sí	2280	515	22.59	Muchos N	Sí	2274	41	1.8	Correcto	Sí	2151	58	2.7	Correcto	Sí	1718	162	9.43	Revisar por N	Sí	1497	21	1.4	Correcto	Sí	1440	116	8.06	Revisar por N	Sí	982	23	2.34	Correcto	Sí	863	314	36.38	Muchos N	Revisar HA/NA
IonXpress_077_232568618	IonXpress_077_232568618.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13233	370	2.8	Sí	2280	67	2.94	Correcto	Sí	2275	25	1.1	Correcto	Sí	2151	38	1.77	Correcto	Sí	1752	82	4.68	Correcto	Sí	1497	18	1.2	Correcto	Sí	1433	57	3.98	Correcto	Sí	982	33	3.36	Correcto	Sí	863	50	5.79	Revisar por N	Apta para análisis HA/NA
IonXpress_077_232575083	IonXpress_077_232575083.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13231	529	4.0	Sí	2280	108	4.74	Correcto	Sí	2273	48	2.11	Correcto	Sí	2151	43	2.0	Correcto	Sí	1752	112	6.39	Revisar por N	Sí	1497	73	4.88	Correcto	Sí	1433	69	4.82	Correcto	Sí	982	26	2.65	Correcto	Sí	863	50	5.79	Revisar por N	Revisar HA/NA
IonXpress_077_232581382	IonXpress_077_232581382.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13245	7672	57.92	Sí	2280	1397	61.27	Muchos N	Sí	2274	1325	58.27	Muchos N	Sí	2156	1110	51.48	Muchos N	Sí	1752	1210	69.06	Muchos N	Sí	1505	827	54.95	Muchos N	Sí	1433	804	56.11	Muchos N	Sí	982	546	55.6	Muchos N	Sí	863	453	52.49	Muchos N	Revisar HA/NA
IonXpress_077_232585462	IonXpress_077_232585462.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13199	633	4.8	Sí	2280	64	2.81	Correcto	Sí	2275	24	1.05	Correcto	Sí	2151	39	1.81	Correcto	Sí	1718	266	15.48	Muchos N	Sí	1497	11	0.73	Correcto	Sí	1433	156	10.89	Muchos N	Sí	982	23	2.34	Correcto	Sí	863	50	5.79	Revisar por N	Revisar HA/NA
IonXpress_077_232588702	IonXpress_077_232588702.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	880	6.65	Sí	2280	125	5.48	Revisar por N	Sí	2274	122	5.36	Revisar por N	Sí	2151	42	1.95	Correcto	Sí	1752	178	10.16	Muchos N	Sí	1497	58	3.87	Correcto	Sí	1433	153	10.68	Muchos N	Sí	982	25	2.55	Correcto	Sí	863	177	20.51	Muchos N	Revisar HA/NA
IonXpress_077_232600174	IonXpress_077_232600174.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13233	370	2.8	Sí	2280	67	2.94	Correcto	Sí	2275	25	1.1	Correcto	Sí	2151	38	1.77	Correcto	Sí	1752	82	4.68	Correcto	Sí	1497	18	1.2	Correcto	Sí	1433	57	3.98	Correcto	Sí	982	33	3.36	Correcto	Sí	863	50	5.79	Revisar por N	Apta para análisis HA/NA
IonXpress_077_232605418	IonXpress_077_232605418.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13204	554	4.2	Sí	2280	107	4.69	Correcto	Sí	2274	14	0.62	Correcto	Sí	2151	47	2.19	Correcto	Sí	1718	28	1.63	Correcto	Sí	1497	5	0.33	Correcto	Sí	1439	79	5.49	Revisar por N	Sí	982	20	2.04	Correcto	Sí	863	254	29.43	Muchos N	Revisar HA/NA
IonXpress_078_232568804	IonXpress_078_232568804.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13231	413	3.12	Sí	2280	64	2.81	Correcto	Sí	2273	25	1.1	Correcto	Sí	2151	39	1.81	Correcto	Sí	1752	127	7.25	Revisar por N	Sí	1497	16	1.07	Correcto	Sí	1433	60	4.19	Correcto	Sí	982	32	3.26	Correcto	Sí	863	50	5.79	Revisar por N	Revisar HA/NA
IonXpress_078_232575158	IonXpress_078_232575158.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	674	5.09	Sí	2280	108	4.74	Correcto	Sí	2274	24	1.06	Correcto	Sí	2151	42	1.95	Correcto	Sí	1752	114	6.51	Revisar por N	Sí	1497	249	16.63	Muchos N	Sí	1433	60	4.19	Correcto	Sí	982	26	2.65	Correcto	Sí	863	51	5.91	Revisar por N	Revisar HA/NA
IonXpress_078_232581500	IonXpress_078_232581500.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	12535	94.73	Sí	2280	2213	97.06	Muchos N	Sí	2274	2041	89.75	Muchos N	Sí	2151	2011	93.49	Muchos N	Sí	1752	1725	98.46	Muchos N	Sí	1497	1304	87.11	Muchos N	Sí	1433	1433	100.0	Muchos N	Sí	982	971	98.88	Muchos N	Sí	863	837	96.99	Muchos N	Revisar HA/NA
IonXpress_078_232585903	IonXpress_078_232585903.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13205	1097	8.31	Sí	2280	447	19.61	Muchos N	Sí	2274	28	1.23	Correcto	Sí	2151	53	2.46	Correcto	Sí	1718	135	7.86	Revisar por N	Sí	1497	20	1.34	Correcto	Sí	1440	109	7.57	Revisar por N	Sí	982	13	1.32	Correcto	Sí	863	292	33.84	Muchos N	Revisar HA/NA
IonXpress_078_232587302	IonXpress_078_232587302.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13206	6581	49.83	Sí	2280	1458	63.95	Muchos N	Sí	2274	773	33.99	Muchos N	Sí	2153	832	38.64	Muchos N	Sí	1718	1355	78.87	Muchos N	Sí	1497	783	52.3	Muchos N	Sí	1439	584	40.58	Muchos N	Sí	982	236	24.03	Muchos N	Sí	863	560	64.89	Muchos N	Revisar HA/NA
IonXpress_078_232600200	IonXpress_078_232600200.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13231	413	3.12	Sí	2280	64	2.81	Correcto	Sí	2273	25	1.1	Correcto	Sí	2151	39	1.81	Correcto	Sí	1752	127	7.25	Revisar por N	Sí	1497	16	1.07	Correcto	Sí	1433	60	4.19	Correcto	Sí	982	32	3.26	Correcto	Sí	863	50	5.79	Revisar por N	Revisar HA/NA
IonXpress_078_232606150	IonXpress_078_232606150.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13203	745	5.64	Sí	2251	178	7.91	Revisar por N	Sí	2274	76	3.34	Correcto	Sí	2151	36	1.67	Correcto	Sí	1752	95	5.42	Revisar por N	Sí	1497	16	1.07	Correcto	Sí	1433	151	10.54	Muchos N	Sí	982	20	2.04	Correcto	Sí	863	173	20.05	Muchos N	Revisar HA/NA
IonXpress_079_232568932	IonXpress_079_232568932.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	391	2.95	Sí	2280	66	2.89	Correcto	Sí	2274	22	0.97	Correcto	Sí	2151	42	1.95	Correcto	Sí	1752	112	6.39	Revisar por N	Sí	1497	8	0.53	Correcto	Sí	1433	60	4.19	Correcto	Sí	982	31	3.16	Correcto	Sí	863	50	5.79	Revisar por N	Revisar HA/NA
IonXpress_079_232575178	IonXpress_079_232575178.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	802	6.06	Sí	2280	113	4.96	Correcto	Sí	2274	162	7.12	Revisar por N	Sí	2151	43	2.0	Correcto	Sí	1752	102	5.82	Revisar por N	Sí	1497	237	15.83	Muchos N	Sí	1433	62	4.33	Correcto	Sí	982	32	3.26	Correcto	Sí	863	51	5.91	Revisar por N	Revisar HA/NA
IonXpress_079_232581637	IonXpress_079_232581637.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13204	9842	74.54	Sí	2280	2060	90.35	Muchos N	Sí	2274	1437	63.19	Muchos N	Sí	2151	1554	72.25	Muchos N	Sí	1718	1351	78.64	Muchos N	Sí	1497	1056	70.54	Muchos N	Sí	1439	1213	84.29	Muchos N	Sí	982	552	56.21	Muchos N	Sí	863	619	71.73	Muchos N	Revisar HA/NA
IonXpress_079_232585968	IonXpress_079_232585968.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	330	2.49	Sí	2280	63	2.76	Correcto	Sí	2274	22	0.97	Correcto	Sí	2151	40	1.86	Correcto	Sí	1752	67	3.82	Correcto	Sí	1497	10	0.67	Correcto	Sí	1433	60	4.19	Correcto	Sí	982	24	2.44	Correcto	Sí	863	44	5.1	Revisar por N	Apta para análisis HA/NA
IonXpress_079_232589581	IonXpress_079_232589581.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13203	970	7.35	Sí	2280	433	18.99	Muchos N	Sí	2274	16	0.7	Correcto	Sí	2151	56	2.6	Correcto	Sí	1718	105	6.11	Revisar por N	Sí	1496	8	0.53	Correcto	Sí	1439	115	7.99	Revisar por N	Sí	982	13	1.32	Correcto	Sí	863	224	25.96	Muchos N	Revisar HA/NA
IonXpress_079_232600202	IonXpress_079_232600202.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	391	2.95	Sí	2280	66	2.89	Correcto	Sí	2274	22	0.97	Correcto	Sí	2151	42	1.95	Correcto	Sí	1752	112	6.39	Revisar por N	Sí	1497	8	0.53	Correcto	Sí	1433	60	4.19	Correcto	Sí	982	31	3.16	Correcto	Sí	863	50	5.79	Revisar por N	Revisar HA/NA
IonXpress_079_232606453	IonXpress_079_232606453.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	460	3.48	Sí	2280	64	2.81	Correcto	Sí	2274	9	0.4	Correcto	Sí	2151	36	1.67	Correcto	Sí	1752	74	4.22	Correcto	Sí	1497	6	0.4	Correcto	Sí	1433	147	10.26	Muchos N	Sí	982	24	2.44	Correcto	Sí	863	100	11.59	Muchos N	Revisar HA/NA
IonXpress_080_232569629	IonXpress_080_232569629.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13231	386	2.92	Sí	2280	63	2.76	Correcto	Sí	2273	22	0.97	Correcto	Sí	2151	39	1.81	Correcto	Sí	1752	112	6.39	Revisar por N	Sí	1497	18	1.2	Correcto	Sí	1433	57	3.98	Correcto	Sí	982	28	2.85	Correcto	Sí	863	47	5.45	Revisar por N	Revisar HA/NA
IonXpress_080_232575181	IonXpress_080_232575181.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13231	794	6.0	Sí	2280	70	3.07	Correcto	Sí	2273	142	6.25	Revisar por N	Sí	2151	43	2.0	Correcto	Sí	1752	352	20.09	Muchos N	Sí	1497	20	1.34	Correcto	Sí	1433	85	5.93	Revisar por N	Sí	982	33	3.36	Correcto	Sí	863	49	5.68	Revisar por N	Revisar HA/NA
IonXpress_080_232581656	IonXpress_080_232581656.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13238	9357	70.68	Sí	2280	1778	77.98	Muchos N	Sí	2274	1382	60.77	Muchos N	Sí	2157	1281	59.39	Muchos N	Sí	1752	1330	75.91	Muchos N	Sí	1497	1227	81.96	Muchos N	Sí	1433	1001	69.85	Muchos N	Sí	982	562	57.23	Muchos N	Sí	863	796	92.24	Muchos N	Revisar HA/NA
IonXpress_080_232584576	IonXpress_080_232584576.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13226	756	5.72	Sí	2273	183	8.05	Revisar por N	Sí	2275	159	6.99	Revisar por N	Sí	2151	44	2.05	Correcto	Sí	1752	148	8.45	Revisar por N	Sí	1497	9	0.6	Correcto	Sí	1433	129	9.0	Revisar por N	Sí	982	33	3.36	Correcto	Sí	863	51	5.91	Revisar por N	Revisar HA/NA
IonXpress_080_232586037	IonXpress_080_232586037.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13205	430	3.26	Sí	2280	55	2.41	Correcto	Sí	2274	16	0.7	Correcto	Sí	2151	43	2.0	Correcto	Sí	1718	30	1.75	Correcto	Sí	1497	19	1.27	Correcto	Sí	1440	81	5.62	Revisar por N	Sí	982	23	2.34	Correcto	Sí	863	163	18.89	Muchos N	Revisar HA/NA
IonXpress_080_232590051	IonXpress_080_232590051.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13205	420	3.18	Sí	2280	65	2.85	Correcto	Sí	2274	24	1.06	Correcto	Sí	2151	43	2.0	Correcto	Sí	1718	31	1.8	Correcto	Sí	1497	9	0.6	Correcto	Sí	1440	71	4.93	Correcto	Sí	982	13	1.32	Correcto	Sí	863	164	19.0	Muchos N	Apta para análisis HA/NA
IonXpress_080_232600309	IonXpress_080_232600309.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13231	386	2.92	Sí	2280	63	2.76	Correcto	Sí	2273	22	0.97	Correcto	Sí	2151	39	1.81	Correcto	Sí	1752	112	6.39	Revisar por N	Sí	1497	18	1.2	Correcto	Sí	1433	57	3.98	Correcto	Sí	982	28	2.85	Correcto	Sí	863	47	5.45	Revisar por N	Revisar HA/NA
IonXpress_080_232606701	IonXpress_080_232606701.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13196	3535	26.79	Sí	2280	905	39.69	Muchos N	Sí	2274	178	7.83	Revisar por N	Sí	2149	123	5.72	Revisar por N	Sí	1718	1343	78.17	Muchos N	Sí	1497	21	1.4	Correcto	Sí	1433	429	29.94	Muchos N	Sí	982	218	22.2	Muchos N	Sí	863	318	36.85	Muchos N	Revisar HA/NA
IonXpress_081_025720637	IonXpress_081_025720637.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13231	739	5.59	Sí	2280	59	2.59	Correcto	Sí	2273	235	10.34	Muchos N	Sí	2151	43	2.0	Correcto	Sí	1752	223	12.73	Muchos N	Sí	1497	12	0.8	Correcto	Sí	1433	71	4.95	Correcto	Sí	982	46	4.68	Correcto	Sí	863	50	5.79	Revisar por N	Revisar HA/NA
IonXpress_081_232569671	IonXpress_081_232569671.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13204	1312	9.94	Sí	2280	462	20.26	Muchos N	Sí	2274	27	1.19	Correcto	Sí	2151	57	2.65	Correcto	Sí	1718	298	17.35	Muchos N	Sí	1497	21	1.4	Correcto	Sí	1439	125	8.69	Revisar por N	Sí	982	25	2.55	Correcto	Sí	863	297	34.41	Muchos N	Revisar HA/NA
IonXpress_081_232575190	IonXpress_081_232575190.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	1583	11.96	Sí	2280	396	17.37	Muchos N	Sí	2274	130	5.72	Revisar por N	Sí	2151	52	2.42	Correcto	Sí	1752	352	20.09	Muchos N	Sí	1497	242	16.17	Muchos N	Sí	1433	86	6.0	Revisar por N	Sí	982	33	3.36	Correcto	Sí	863	292	33.84	Muchos N	Revisar HA/NA
IonXpress_081_232581665	IonXpress_081_232581665.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13244	7956	60.07	Sí	2280	1526	66.93	Muchos N	Sí	2274	1090	47.93	Muchos N	Sí	2156	1118	51.86	Muchos N	Sí	1752	1239	70.72	Muchos N	Sí	1504	798	53.06	Muchos N	Sí	1433	863	60.22	Muchos N	Sí	982	546	55.6	Muchos N	Sí	863	776	89.92	Muchos N	Revisar HA/NA
IonXpress_081_232584596	IonXpress_081_232584596.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	882	6.67	Sí	2280	203	8.9	Revisar por N	Sí	2274	162	7.12	Revisar por N	Sí	2151	44	2.05	Correcto	Sí	1752	161	9.19	Revisar por N	Sí	1497	96	6.41	Revisar por N	Sí	1433	133	9.28	Revisar por N	Sí	982	33	3.36	Correcto	Sí	863	50	5.79	Revisar por N	Revisar HA/NA
IonXpress_081_232586184	IonXpress_081_232586184.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13203	2093	15.85	Sí	2280	625	27.41	Muchos N	Sí	2274	225	9.89	Revisar por N	Sí	2151	73	3.39	Correcto	Sí	1718	328	19.09	Muchos N	Sí	1496	21	1.4	Correcto	Sí	1439	228	15.84	Muchos N	Sí	982	46	4.68	Correcto	Sí	863	547	63.38	Muchos N	Revisar HA/NA
IonXpress_081_232590092	IonXpress_081_232590092.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13204	309	2.34	Sí	2280	55	2.41	Correcto	Sí	2274	27	1.19	Correcto	Sí	2151	43	2.0	Correcto	Sí	1718	29	1.69	Correcto	Sí	1497	5	0.33	Correcto	Sí	1439	82	5.7	Revisar por N	Sí	982	13	1.32	Correcto	Sí	863	55	6.37	Revisar por N	Revisar HA/NA
IonXpress_081_232606997	IonXpress_081_232606997.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13237	3852	29.1	Sí	2280	943	41.36	Muchos N	Sí	2275	455	20.0	Muchos N	Sí	2151	124	5.76	Revisar por N	Sí	1752	1172	66.89	Muchos N	Sí	1501	478	31.85	Muchos N	Sí	1433	170	11.86	Muchos N	Sí	982	82	8.35	Revisar por N	Sí	863	428	49.59	Muchos N	Revisar HA/NA
IonXpress_082_232569760	IonXpress_082_232569760.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	957	7.23	Sí	2280	124	5.44	Revisar por N	Sí	2274	230	10.11	Muchos N	Sí	2151	40	1.86	Correcto	Sí	1752	192	10.96	Muchos N	Sí	1497	218	14.56	Muchos N	Sí	1433	70	4.88	Correcto	Sí	982	33	3.36	Correcto	Sí	863	50	5.79	Revisar por N	Revisar HA/NA
