muestra	archivo	subtipo	segmento	header_original	longitud_total	N_total	primera_base_real	ultima_base_real	longitud_cubierta	cobertura_pct_aprox	N_internas	porcentaje_N_internas	calidad	utilizable
IonXpress_078_232581500	IonXpress_078_232581500.consensus.fasta	H1N1	NA	A_NA_N1	1433	1433			0	0	0	100	Excluir	No
IonXpress_078_232585903	IonXpress_078_232585903.consensus.fasta	H3N2	HA	A_HA_H3	1718	135	17	1689	1673	92.94	90	5.38	Dudosa	Sí
IonXpress_078_232585903	IonXpress_078_232585903.consensus.fasta	H3N2	NA	A_NA_N2	1440	109	48	1386	1339	86.39	8	0.6	Aceptable	Sí
IonXpress_078_232587302	IonXpress_078_232587302.consensus.fasta	H3N2	HA	A_HA_H3	1718	1355	898	1390	493	27.39	130	26.37	Excluir	No
IonXpress_078_232587302	IonXpress_078_232587302.consensus.fasta	H3N2	NA	A_NA_N2	1439	584	167	1229	1063	68.58	208	19.57	Dudosa	Sí
IonXpress_078_232600200	IonXpress_078_232600200.consensus.fasta	H1N1	HA	A_HA_H1	1752	127	54	1690	1637	90.94	12	0.73	Buena	Sí
IonXpress_078_232600200	IonXpress_078_232600200.consensus.fasta	H1N1	NA	A_NA_N1	1433	60	29	1401	1373	88.58	0	0.0	Aceptable	Sí
IonXpress_078_232606150	IonXpress_078_232606150.consensus.fasta	H1N1	HA	A_HA_H1	1752	95	35	1699	1665	92.5	8	0.48	Buena	Sí
IonXpress_078_232606150	IonXpress_078_232606150.consensus.fasta	H1N1	NA	A_NA_N1	1433	151	29	1406	1378	88.9	96	6.97	Dudosa	Sí
IonXpress_079_232568932	IonXpress_079_232568932.consensus.fasta	H1N1	HA	A_HA_H1	1752	112	38	1694	1657	92.06	17	1.03	Aceptable	Sí
IonXpress_079_232568932	IonXpress_079_232568932.consensus.fasta	H1N1	NA	A_NA_N1	1433	60	29	1401	1373	88.58	0	0.0	Aceptable	Sí
IonXpress_079_232575178	IonXpress_079_232575178.consensus.fasta	H1N1	HA	A_HA_H1	1752	102	35	1689	1655	91.94	5	0.3	Buena	Sí
IonXpress_079_232575178	IonXpress_079_232575178.consensus.fasta	H1N1	NA	A_NA_N1	1433	62	29	1401	1373	88.58	2	0.15	Aceptable	Sí
IonXpress_079_232581637	IonXpress_079_232581637.consensus.fasta	H3N2	HA	A_HA_H3	1718	1351	835	1285	451	25.06	84	18.63	Excluir	No
IonXpress_079_232581637	IonXpress_079_232581637.consensus.fasta	H3N2	NA	A_NA_N2	1439	1213	167	640	474	30.58	248	52.32	Excluir	No
IonXpress_079_232585968	IonXpress_079_232585968.consensus.fasta	H1N1	HA	A_HA_H1	1752	67	15	1699	1685	93.61	0	0.0	Buena	Sí
IonXpress_079_232585968	IonXpress_079_232585968.consensus.fasta	H1N1	NA	A_NA_N1	1433	60	29	1401	1373	88.58	0	0.0	Aceptable	Sí
IonXpress_079_232589581	IonXpress_079_232589581.consensus.fasta	H3N2	HA	A_HA_H3	1718	105	2	1689	1688	93.78	75	4.44	Aceptable	Sí
IonXpress_079_232589581	IonXpress_079_232589581.consensus.fasta	H3N2	NA	A_NA_N2	1439	115	45	1385	1341	86.52	17	1.27	Aceptable	Sí
IonXpress_079_232600202	IonXpress_079_232600202.consensus.fasta	H1N1	HA	A_HA_H1	1752	112	38	1694	1657	92.06	17	1.03	Aceptable	Sí
IonXpress_079_232600202	IonXpress_079_232600202.consensus.fasta	H1N1	NA	A_NA_N1	1433	60	29	1401	1373	88.58	0	0.0	Aceptable	Sí
IonXpress_079_232606453	IonXpress_079_232606453.consensus.fasta	H1N1	HA	A_HA_H1	1752	74	22	1699	1678	93.22	0	0.0	Buena	Sí
IonXpress_079_232606453	IonXpress_079_232606453.consensus.fasta	H1N1	NA	A_NA_N1	1433	147	29	1406	1378	88.9	92	6.68	Dudosa	Sí
IonXpress_080_232569629	IonXpress_080_232569629.consensus.fasta	H1N1	HA	A_HA_H1	1752	112	55	1694	1640	91.11	0	0.0	Buena	Sí
IonXpress_080_232569629	IonXpress_080_232569629.consensus.fasta	H1N1	NA	A_NA_N1	1433	57	29	1404	1376	88.77	0	0.0	Aceptable	Sí
IonXpress_080_232575181	IonXpress_080_232575181.consensus.fasta	H1N1	HA	A_HA_H1	1752	352	282	1689	1408	78.22	8	0.57	Dudosa	Sí
IonXpress_080_232575181	IonXpress_080_232575181.consensus.fasta	H1N1	NA	A_NA_N1	1433	85	39	1406	1368	88.26	20	1.46	Aceptable	Sí
IonXpress_080_232581656	IonXpress_080_232581656.consensus.fasta	H1N1	HA	A_HA_H1	1752	1330	356	992	637	35.39	215	33.75	Excluir	No
IonXpress_080_232581656	IonXpress_080_232581656.consensus.fasta	H1N1	NA	A_NA_N1	1433	1001	298	1220	923	59.55	491	53.2	Excluir	No
IonXpress_080_232584576	IonXpress_080_232584576.consensus.fasta	H1N1	HA	A_HA_H1	1752	148	85	1688	1604	89.11	0	0.0	Aceptable	Sí
IonXpress_080_232584576	IonXpress_080_232584576.consensus.fasta	H1N1	NA	A_NA_N1	1433	129	29	1401	1373	88.58	69	5.03	Dudosa	Sí
IonXpress_080_232586037	IonXpress_080_232586037.consensus.fasta	H3N2	HA	A_HA_H3	1718	30	2	1689	1688	93.78	0	0.0	Buena	Sí
IonXpress_080_232586037	IonXpress_080_232586037.consensus.fasta	H3N2	NA	A_NA_N2	1440	81	31	1389	1359	87.68	0	0.0	Aceptable	Sí
IonXpress_080_232590051	IonXpress_080_232590051.consensus.fasta	H3N2	HA	A_HA_H3	1718	31	2	1691	1690	93.89	3	0.18	Buena	Sí
IonXpress_080_232590051	IonXpress_080_232590051.consensus.fasta	H3N2	NA	A_NA_N2	1440	71	21	1389	1369	88.32	0	0.0	Aceptable	Sí
IonXpress_080_232600309	IonXpress_080_232600309.consensus.fasta	H1N1	HA	A_HA_H1	1752	112	55	1694	1640	91.11	0	0.0	Buena	Sí
IonXpress_080_232600309	IonXpress_080_232600309.consensus.fasta	H1N1	NA	A_NA_N1	1433	57	29	1404	1376	88.77	0	0.0	Aceptable	Sí
IonXpress_080_232606701	IonXpress_080_232606701.consensus.fasta	H3N2	HA	A_HA_H3	1718	1343	238	1406	1169	64.94	794	67.92	Excluir	No
IonXpress_080_232606701	IonXpress_080_232606701.consensus.fasta	H1N1	NA	A_NA_N1	1433	429	298	1399	1102	71.1	98	8.89	Dudosa	Sí
IonXpress_081_025720637	IonXpress_081_025720637.consensus.fasta	H1N1	HA	A_HA_H1	1752	223	159	1688	1530	85.0	1	0.07	Aceptable	Sí
IonXpress_081_025720637	IonXpress_081_025720637.consensus.fasta	H1N1	NA	A_NA_N1	1433	71	40	1401	1362	87.87	0	0.0	Aceptable	Sí
IonXpress_081_232569671	IonXpress_081_232569671.consensus.fasta	H3N2	HA	A_HA_H3	1718	298	128	1677	1550	86.11	130	8.39	Dudosa	Sí
IonXpress_081_232569671	IonXpress_081_232569671.consensus.fasta	H3N2	NA	A_NA_N2	1439	125	48	1384	1337	86.26	23	1.72	Aceptable	Sí
IonXpress_081_232575190	IonXpress_081_232575190.consensus.fasta	H1N1	HA	A_HA_H1	1752	352	283	1688	1406	78.11	6	0.43	Dudosa	Sí
IonXpress_081_232575190	IonXpress_081_232575190.consensus.fasta	H1N1	NA	A_NA_N1	1433	86	39	1399	1361	87.81	14	1.03	Aceptable	Sí
IonXpress_081_232581665	IonXpress_081_232581665.consensus.fasta	H1N1	HA	A_HA_H1	1752	1239	340	1040	701	38.94	188	26.82	Excluir	No
IonXpress_081_232581665	IonXpress_081_232581665.consensus.fasta	H1N1	NA	A_NA_N1	1433	863	456	1220	765	49.35	195	25.49	Excluir	No
IonXpress_081_232584596	IonXpress_081_232584596.consensus.fasta	H1N1	HA	A_HA_H1	1752	161	86	1689	1604	89.11	13	0.81	Aceptable	Sí
IonXpress_081_232584596	IonXpress_081_232584596.consensus.fasta	H1N1	NA	A_NA_N1	1433	133	102	1401	1300	83.87	0	0.0	Aceptable	Sí
IonXpress_081_232586184	IonXpress_081_232586184.consensus.fasta	H3N2	HA	A_HA_H3	1718	328	199	1677	1479	82.17	89	6.02	Dudosa	Sí
IonXpress_081_232586184	IonXpress_081_232586184.consensus.fasta	H3N2	NA	A_NA_N2	1439	228	167	1377	1211	78.13	0	0.0	Dudosa	Sí
IonXpress_081_232590092	IonXpress_081_232590092.consensus.fasta	H3N2	HA	A_HA_H3	1718	29	2	1690	1689	93.83	0	0.0	Buena	Sí
IonXpress_081_232590092	IonXpress_081_232590092.consensus.fasta	H3N2	NA	A_NA_N2	1439	82	32	1388	1357	87.55	0	0.0	Aceptable	Sí
IonXpress_081_232606997	IonXpress_081_232606997.consensus.fasta	H1N1	HA	A_HA_H1	1752	1172	308	1360	1053	58.5	473	44.92	Excluir	No
IonXpress_081_232606997	IonXpress_081_232606997.consensus.fasta	H1N1	NA	A_NA_N1	1433	170	39	1399	1361	87.81	98	7.2	Dudosa	Sí
IonXpress_082_232569760	IonXpress_082_232569760.consensus.fasta	H1N1	HA	A_HA_H1	1752	192	111	1694	1584	88.0	24	1.52	Aceptable	Sí
IonXpress_082_232569760	IonXpress_082_232569760.consensus.fasta	H1N1	NA	A_NA_N1	1433	70	39	1401	1363	87.94	0	0.0	Aceptable	Sí
IonXpress_082_232575248	IonXpress_082_232575248.consensus.fasta	H1N1	HA	A_HA_H1	1752	167	96	1689	1594	88.56	9	0.56	Aceptable	Sí
IonXpress_082_232575248	IonXpress_082_232575248.consensus.fasta	H1N1	NA	A_NA_N1	1433	70	39	1401	1363	87.94	0	0.0	Aceptable	Sí
IonXpress_082_232581678	IonXpress_082_232581678.consensus.fasta	H1N1	HA	A_HA_H1	1752	1683	895	963	69	3.83	0	0.0	Excluir	No
IonXpress_082_232581678	IonXpress_082_232581678.consensus.fasta	H1N1	NA	A_NA_N1	1433	1358	515	589	75	4.84	0	0.0	Excluir	No
IonXpress_082_232584604	IonXpress_082_232584604.consensus.fasta	H1N1	HA	A_HA_H1	1752	153	79	1694	1616	89.78	17	1.05	Aceptable	Sí
IonXpress_082_232584604	IonXpress_082_232584604.consensus.fasta	H1N1	NA	A_NA_N1	1433	157	29	1401	1373	88.58	97	7.06	Dudosa	Sí
IonXpress_082_232586185	IonXpress_082_232586185.consensus.fasta	H1N1	HA	A_HA_H1	1752	185	122	1688	1567	87.06	0	0.0	Aceptable	Sí
IonXpress_082_232586185	IonXpress_082_232586185.consensus.fasta	H1N1	NA	A_NA_N1	1433	72	39	1399	1361	87.81	0	0.0	Aceptable	Sí
IonXpress_082_232590175	IonXpress_082_232590175.consensus.fasta	H1N1	HA	A_HA_H1	1752	116	54	1689	1636	90.89	0	0.0	Buena	Sí
IonXpress_082_232590175	IonXpress_082_232590175.consensus.fasta	H1N1	NA	A_NA_N1	1433	156	29	1401	1373	88.58	96	6.99	Dudosa	Sí
IonXpress_082_232600391	IonXpress_082_232600391.consensus.fasta	H3N2	HA	A_HA_H3	1718	140	40	1689	1650	91.67	72	4.36	Aceptable	Sí
IonXpress_082_232600391	IonXpress_082_232600391.consensus.fasta	H3N2	NA	A_NA_N2	1439	104	48	1388	1341	86.52	6	0.45	Aceptable	Sí
IonXpress_082_232607264	IonXpress_082_232607264.consensus.fasta	H3N2	HA	A_HA_H3	1718	154	32	1689	1658	92.11	94	5.67	Dudosa	Sí
IonXpress_082_232607264	IonXpress_082_232607264.consensus.fasta	H3N2	NA	A_NA_N2	1439	111	48	1388	1341	86.52	13	0.97	Aceptable	Sí
IonXpress_083_232569809	IonXpress_083_232569809.consensus.fasta	H1N1	HA	A_HA_H1	1752	177	94	1688	1595	88.61	20	1.25	Aceptable	Sí
IonXpress_083_232569809	IonXpress_083_232569809.consensus.fasta	H1N1	NA	A_NA_N1	1433	87	39	1401	1363	87.94	17	1.25	Aceptable	Sí
IonXpress_083_232575270	IonXpress_083_232575270.consensus.fasta	H1N1	HA	A_HA_H1	1752	364	282	1688	1407	78.17	19	1.35	Dudosa	Sí
IonXpress_083_232575270	IonXpress_083_232575270.consensus.fasta	H1N1	NA	A_NA_N1	1433	60	29	1401	1373	88.58	0	0.0	Aceptable	Sí
IonXpress_083_232581922	IonXpress_083_232581922.consensus.fasta	H1N1	HA	A_HA_H1	1751	1162	337	1044	708	39.33	119	16.81	Excluir	No
IonXpress_083_232581922	IonXpress_083_232581922.consensus.fasta	H1N1	NA	A_NA_N1	1433	833	424	1220	797	51.42	197	24.72	Excluir	No
IonXpress_083_232584738	IonXpress_083_232584738.consensus.fasta	H1N1	HA	A_HA_H1	1752	856	249	1407	1159	64.39	263	22.69	Excluir	No
IonXpress_083_232584738	IonXpress_083_232584738.consensus.fasta	H1N1	NA	A_NA_N1	1433	1021	525	1212	688	44.39	276	40.12	Excluir	No
IonXpress_083_232586262	IonXpress_083_232586262.consensus.fasta	H1N1	HA	A_HA_H1	1752	87	35	1699	1665	92.5	0	0.0	Buena	Sí
IonXpress_083_232586262	IonXpress_083_232586262.consensus.fasta	H1N1	NA	A_NA_N1	1433	51	21	1402	1382	89.16	0	0.0	Aceptable	Sí
IonXpress_083_232590224	IonXpress_083_232590224.consensus.fasta	H3N2	HA	A_HA_H3	1718	36	14	1695	1682	93.44	0	0.0	Buena	Sí
IonXpress_083_232590224	IonXpress_083_232590224.consensus.fasta	H3N2	NA	A_NA_N2	1440	95	37	1389	1353	87.29	8	0.59	Aceptable	Sí
IonXpress_083_232600461	IonXpress_083_232600461.consensus.fasta	H1N1	HA	A_HA_H1	1752	181	96	1689	1594	88.56	23	1.44	Aceptable	Sí
IonXpress_083_232600461	IonXpress_083_232600461.consensus.fasta	H1N1	NA	A_NA_N1	1433	70	39	1401	1363	87.94	0	0.0	Aceptable	Sí
IonXpress_083_232607711	IonXpress_083_232607711.consensus.fasta	H1N1	HA	A_HA_H1	1752	220	140	1689	1550	86.11	18	1.16	Aceptable	Sí
IonXpress_083_232607711	IonXpress_083_232607711.consensus.fasta	H1N1	NA	A_NA_N1	1433	158	29	1401	1373	88.58	98	7.14	Dudosa	Sí
IonXpress_084_232575280	IonXpress_084_232575280.consensus.fasta	H1N1	HA	A_HA_H1	1752	290	219	1688	1470	81.67	8	0.54	Aceptable	Sí
IonXpress_084_232575280	IonXpress_084_232575280.consensus.fasta	H1N1	NA	A_NA_N1	1433	344	312	1400	1089	70.26	0	0.0	Dudosa	Sí
IonXpress_084_232582082	IonXpress_084_232582082.consensus.fasta	H3N2	HA	A_HA_H3	1718	986	149	1369	1221	67.83	489	40.05	Excluir	No
IonXpress_084_232582082	IonXpress_084_232582082.consensus.fasta	H3N2	NA	A_NA_N2	1439	830	157	1364	1208	77.94	599	49.59	Excluir	No
IonXpress_084_232584863	IonXpress_084_232584863.consensus.fasta	H3N2	HA	A_HA_H3	1718	69	33	1689	1657	92.06	8	0.48	Buena	Sí
IonXpress_084_232584863	IonXpress_084_232584863.consensus.fasta	H3N2	NA	A_NA_N2	1439	108	48	1378	1331	85.87	0	0.0	Aceptable	Sí
IonXpress_084_232586265	IonXpress_084_232586265.consensus.fasta	H3N2	HA	A_HA_H3	1718	164	21	1689	1669	92.72	115	6.89	Dudosa	Sí
IonXpress_084_232586265	IonXpress_084_232586265.consensus.fasta	H3N2	NA	A_NA_N2	1439	98	39	1388	1350	87.1	9	0.67	Aceptable	Sí
IonXpress_084_232590248	IonXpress_084_232590248.consensus.fasta	H3N2	HA	A_HA_H3	1718	115	21	1690	1670	92.78	67	4.01	Aceptable	Sí
IonXpress_084_232590248	IonXpress_084_232590248.consensus.fasta	H3N2	NA	A_NA_N2	1439	107	44	1388	1345	86.77	13	0.97	Aceptable	Sí
IonXpress_084_232600473	IonXpress_084_232600473.consensus.fasta	H3N2	HA	A_HA_H3	1718	141	39	1689	1651	91.72	74	4.48	Aceptable	Sí
IonXpress_084_232600473	IonXpress_084_232600473.consensus.fasta	H3N2	NA	A_NA_N2	1439	95	37	1388	1352	87.23	8	0.59	Aceptable	Sí
IonXpress_084_232607971	IonXpress_084_232607971.consensus.fasta	H1N1	HA	A_HA_H1	1752	944	404	1356	953	52.94	145	15.22	Excluir	No
IonXpress_084_232607971	IonXpress_084_232607971.consensus.fasta	H1N1	NA	A_NA_N1	1433	826	394	1220	827	53.35	220	26.6	Excluir	No
IonXpress_084_232669834	IonXpress_084_232669834.consensus.fasta	H1N1	HA	A_HA_H1	1752	1326	343	1356	1014	56.33	588	57.99	Excluir	No
IonXpress_084_232669834	IonXpress_084_232669834.consensus.fasta	H1N1	NA	A_NA_N1	1433	1376	726	1315	590	38.06	533	90.34	Excluir	No
IonXpress_085_232575286	IonXpress_085_232575286.consensus.fasta	H3N2	HA	A_HA_H3	1718	351	151	1689	1539	85.5	172	11.18	Dudosa	Sí
IonXpress_085_232575286	IonXpress_085_232575286.consensus.fasta	H3N2	NA	A_NA_N2	1439	223	157	1385	1229	79.29	13	1.06	Dudosa	Sí
IonXpress_085_232580481	IonXpress_085_232580481.consensus.fasta	H1N1	HA	A_HA_H1	1752	1401	364	1004	641	35.61	290	45.24	Excluir	No
IonXpress_085_232580481	IonXpress_085_232580481.consensus.fasta	H1N1	NA	A_NA_N1	1433	827	472	1220	749	48.32	143	19.09	Excluir	No
IonXpress_085_232584866	IonXpress_085_232584866.consensus.fasta	H3N2	HA	A_HA_H3	1718	556	207	1677	1471	81.72	309	21.01	Excluir	No
IonXpress_085_232584866	IonXpress_085_232584866.consensus.fasta	H3N2	NA	A_NA_N2	1439	263	167	1377	1211	78.13	35	2.89	Dudosa	Sí
IonXpress_085_232586266	IonXpress_085_232586266.consensus.fasta	H1N1	HA	A_HA_H1	1752	88	31	1694	1664	92.44	0	0.0	Buena	Sí
IonXpress_085_232586266	IonXpress_085_232586266.consensus.fasta	H1N1	NA	A_NA_N1	1433	43	15	1404	1390	89.68	0	0.0	Aceptable	Sí
IonXpress_085_232590262	IonXpress_085_232590262.consensus.fasta	H1N1	HA	A_HA_H1	1752	909	405	1356	952	52.89	109	11.45	Excluir	No
IonXpress_085_232590262	IonXpress_085_232590262.consensus.fasta	H1N1	NA	A_NA_N1	1433	890	312	1220	909	58.65	366	40.26	Excluir	No
IonXpress_085_232600524	IonXpress_085_232600524.consensus.fasta	H1N1	HA	A_HA_H1	1752	104	43	1690	1648	91.56	0	0.0	Buena	Sí
IonXpress_085_232600524	IonXpress_085_232600524.consensus.fasta	H1N1	NA	A_NA_N1	1433	58	29	1403	1375	88.71	0	0.0	Aceptable	Sí
IonXpress_085_232607987	IonXpress_085_232607987.consensus.fasta	H1N1	HA	A_HA_H1	1752	345	282	1688	1407	78.17	0	0.0	Dudosa	Sí
IonXpress_085_232607987	IonXpress_085_232607987.consensus.fasta	H1N1	NA	A_NA_N1	1433	107	39	1399	1361	87.81	35	2.57	Aceptable	Sí
IonXpress_086_232570240	IonXpress_086_232570240.consensus.fasta	H1N1	HA	A_HA_H1	1752	109	35	1699	1665	92.5	22	1.32	Aceptable	Sí
IonXpress_086_232570240	IonXpress_086_232570240.consensus.fasta	H1N1	NA	A_NA_N1	1433	118	87	1401	1315	84.84	0	0.0	Aceptable	Sí
IonXpress_086_232575616	IonXpress_086_232575616.consensus.fasta	H1N1	HA	A_HA_H1	1752	115	35	1689	1655	91.94	18	1.09	Aceptable	Sí
IonXpress_086_232575616	IonXpress_086_232575616.consensus.fasta	H1N1	NA	A_NA_N1	1433	62	29	1401	1373	88.58	2	0.15	Aceptable	Sí
IonXpress_086_232582581	IonXpress_086_232582581.consensus.fasta	H1N1	HA	A_HA_H1	1752	1091	303	1079	777	43.17	116	14.93	Excluir	No
IonXpress_086_232582581	IonXpress_086_232582581.consensus.fasta	H1N1	NA	A_NA_N1	1433	721	394	1270	877	56.58	165	18.81	Excluir	No
IonXpress_086_232584881	IonXpress_086_232584881.consensus.fasta	H3N2	HA	A_HA_H3	1718	225	101	1689	1589	88.28	96	6.04	Dudosa	Sí
IonXpress_086_232584881	IonXpress_086_232584881.consensus.fasta	H3N2	NA	A_NA_N2	1439	135	48	1377	1330	85.81	26	1.95	Aceptable	Sí
IonXpress_086_232586347	IonXpress_086_232586347.consensus.fasta	H1N1	HA	A_HA_H1	1752	353	283	1688	1406	78.11	7	0.5	Dudosa	Sí
IonXpress_086_232586347	IonXpress_086_232586347.consensus.fasta	H1N1	NA	A_NA_N1	1433	62	30	1400	1371	88.45	0	0.0	Aceptable	Sí
IonXpress_086_232590407	IonXpress_086_232590407.consensus.fasta	H1N1	HA	A_HA_H1	1752	95	43	1699	1657	92.06	0	0.0	Buena	Sí
IonXpress_086_232590407	IonXpress_086_232590407.consensus.fasta	H1N1	NA	A_NA_N1	1433	41	15	1406	1392	89.81	0	0.0	Aceptable	Sí
IonXpress_086_232600535	IonXpress_086_232600535.consensus.fasta	H3N2	HA	A_HA_H3	1718	21	2	1698	1697	94.28	0	0.0	Buena	Sí
IonXpress_086_232600535	IonXpress_086_232600535.consensus.fasta	H3N2	NA	A_NA_N2	1439	86	36	1388	1353	87.29	0	0.0	Aceptable	Sí
IonXpress_086_232608277	IonXpress_086_232608277.consensus.fasta	H3N2	HA	A_HA_H3	1718	678	161	1677	1517	84.28	477	31.44	Excluir	No
IonXpress_086_232608277	IonXpress_086_232608277.consensus.fasta	H3N2	NA	A_NA_N2	1439	251	167	1377	1211	78.13	23	1.9	Dudosa	Sí
IonXpress_087_232570440	IonXpress_087_232570440.consensus.fasta	H1N1	HA	A_HA_H1	1752	329	245	1688	1444	80.22	21	1.45	Aceptable	Sí
IonXpress_087_232570440	IonXpress_087_232570440.consensus.fasta	H1N1	NA	A_NA_N1	1433	158	29	1401	1373	88.58	98	7.14	Dudosa	Sí
IonXpress_087_232575621	IonXpress_087_232575621.consensus.fasta	H1N1	HA	A_HA_H1	1752	344	283	1690	1408	78.22	0	0.0	Dudosa	Sí
IonXpress_087_232575621	IonXpress_087_232575621.consensus.fasta	H1N1	NA	A_NA_N1	1433	60	29	1401	1373	88.58	0	0.0	Aceptable	Sí
IonXpress_087_232582612	IonXpress_087_232582612.consensus.fasta	H3N2	HA	A_HA_H3	1718	1004	151	1333	1183	65.72	469	39.64	Excluir	No
IonXpress_087_232582612	IonXpress_087_232582612.consensus.fasta	H3N2	NA	A_NA_N2	1301	863	157	1239	1083	69.87	645	59.56	Excluir	No
IonXpress_087_232585254	IonXpress_087_232585254.consensus.fasta	H1N1	HA	A_HA_H1	1752	142	78	1699	1622	90.11	12	0.74	Buena	Sí
IonXpress_087_232585254	IonXpress_087_232585254.consensus.fasta	H1N1	NA	A_NA_N1	1433	69	39	1402	1364	88.0	0	0.0	Aceptable	Sí
IonXpress_087_232586430	IonXpress_087_232586430.consensus.fasta	H1N1	HA	A_HA_H1	1752	83	31	1699	1669	92.72	0	0.0	Buena	Sí
IonXpress_087_232586430	IonXpress_087_232586430.consensus.fasta	H1N1	NA	A_NA_N1	1433	45	19	1406	1388	89.55	0	0.0	Aceptable	Sí
IonXpress_087_232590591	IonXpress_087_232590591.consensus.fasta	H1N1	HA	A_HA_H1	1752	103	39	1699	1661	92.28	12	0.72	Buena	Sí
IonXpress_087_232590591	IonXpress_087_232590591.consensus.fasta	H1N1	NA	A_NA_N1	1433	56	27	1403	1377	88.84	0	0.0	Aceptable	Sí
IonXpress_087_232600538	IonXpress_087_232600538.consensus.fasta	H3N2	HA	A_HA_H3	1718	147	28	1689	1662	92.33	91	5.48	Dudosa	Sí
IonXpress_087_232600538	IonXpress_087_232600538.consensus.fasta	H3N2	NA	A_NA_N2	1439	107	48	1388	1341	86.52	9	0.67	Aceptable	Sí
IonXpress_087_232608523	IonXpress_087_232608523.consensus.fasta	H1N1	HA	A_HA_H1	1752	138	72	1699	1628	90.44	14	0.86	Buena	Sí
IonXpress_087_232608523	IonXpress_087_232608523.consensus.fasta	H1N1	NA	A_NA_N1	1433	153	29	1404	1376	88.77	96	6.98	Dudosa	Sí
IonXpress_088_232570914	IonXpress_088_232570914.consensus.fasta	H3N2	HA	A_HA_H3	1718	264	37	1595	1559	86.61	105	6.74	Dudosa	Sí
IonXpress_088_232570914	IonXpress_088_232570914.consensus.fasta	H3N2	NA	A_NA_N2	1439	189	36	1385	1350	87.1	100	7.41	Dudosa	Sí
IonXpress_088_232575641	IonXpress_088_232575641.consensus.fasta	H1N1	HA	A_HA_H1	1752	67	15	1699	1685	93.61	0	0.0	Buena	Sí
IonXpress_088_232575641	IonXpress_088_232575641.consensus.fasta	H1N1	NA	A_NA_N1	1433	55	29	1406	1378	88.9	0	0.0	Aceptable	Sí
IonXpress_088_232582617	IonXpress_088_232582617.consensus.fasta	H1N1	HA	A_HA_H1	1752	1501	405	655	251	13.94	0	0.0	Excluir	No
IonXpress_088_232582617	IonXpress_088_232582617.consensus.fasta	H1N1	NA	A_NA_N1	1433	977	753	1220	468	30.19	12	2.56	Excluir	No
IonXpress_088_232585268	IonXpress_088_232585268.consensus.fasta	H3N2	HA	A_HA_H3	1718	125	23	1690	1668	92.67	75	4.5	Aceptable	Sí
IonXpress_088_232585268	IonXpress_088_232585268.consensus.fasta	H3N2	NA	A_NA_N2	1440	93	40	1386	1347	86.9	0	0.0	Aceptable	Sí
IonXpress_088_232586449	IonXpress_088_232586449.consensus.fasta	H3N2	HA	A_HA_H3	1718	22	2	1697	1696	94.22	0	0.0	Buena	Sí
IonXpress_088_232586449	IonXpress_088_232586449.consensus.fasta	H3N2	NA	A_NA_N2	1439	46	2	1394	1393	89.87	0	0.0	Aceptable	Sí
IonXpress_088_232600623	IonXpress_088_232600623.consensus.fasta	H3N2	HA	A_HA_H3	1718	41	13	1689	1677	93.17	0	0.0	Buena	Sí
IonXpress_088_232600623	IonXpress_088_232600623.consensus.fasta	H3N2	NA	A_NA_N2	1439	78	29	1389	1361	87.81	0	0.0	Aceptable	Sí
IonXpress_088_232608703	IonXpress_088_232608703.consensus.fasta	H3N2	HA	A_HA_H3	1718	93	2	1689	1688	93.78	63	3.73	Aceptable	Sí
IonXpress_088_232608703	IonXpress_088_232608703.consensus.fasta	H3N2	NA	A_NA_N2	1439	83	37	1392	1356	87.48	0	0.0	Aceptable	Sí
IonXpress_089_232571343	IonXpress_089_232571343.consensus.fasta	H1N1	HA	A_HA_H1	1752	241	171	1699	1529	84.94	18	1.18	Aceptable	Sí
IonXpress_089_232571343	IonXpress_089_232571343.consensus.fasta	H1N1	NA	A_NA_N1	1433	90	39	1401	1363	87.94	20	1.47	Aceptable	Sí
IonXpress_089_232575649	IonXpress_089_232575649.consensus.fasta	H3N2	HA	A_HA_H3	1718	50	17	1689	1673	92.94	5	0.3	Buena	Sí
IonXpress_089_232575649	IonXpress_089_232575649.consensus.fasta	H3N2	NA	A_NA_N2	1439	93	43	1388	1346	86.84	0	0.0	Aceptable	Sí
IonXpress_089_232582696	IonXpress_089_232582696.consensus.fasta	H1N1	HA	A_HA_H1	1752	1668	594	1329	736	40.89	652	88.59	Excluir	No
IonXpress_089_232582696	IonXpress_089_232582696.consensus.fasta	H1N1	NA	A_NA_N1	1433	1322	969	1399	431	27.81	320	74.25	Excluir	No
IonXpress_089_232585398	IonXpress_089_232585398.consensus.fasta	H3N2	HA	A_HA_H3	1717	368	101	1528	1428	79.33	79	5.53	Dudosa	Sí
IonXpress_089_232585398	IonXpress_089_232585398.consensus.fasta	H3N2	NA	A_NA_N2	1439	215	154	1377	1224	78.97	0	0.0	Dudosa	Sí
IonXpress_089_232586540	IonXpress_089_232586540.consensus.fasta	H3N2	HA	A_HA_H3	1718	126	21	1689	1669	92.72	77	4.61	Aceptable	Sí
IonXpress_089_232586540	IonXpress_089_232586540.consensus.fasta	H3N2	NA	A_NA_N2	1439	113	48	1385	1338	86.32	12	0.9	Aceptable	Sí
